1,Australia,7
2,Australia Sweden,9
3,Austria,5
4,Belgium,5
5,Brazil,2
6,Bulgaria,5
7,Canada,3
8,China,1
9,Cuba,3
10,Czechoslovakia,5
11,Denmark,5
12,East Germany,5
13,Empire of Japan,1
14,Empire of Japan Finland,8
15,Empire of Japan Nazi Germany,8
16,Finland,5
17,France,5
18,Germany,5
19,Great Britain,5
20,Greece,5
21,Hungary,5
22,Italy,5
23,Japan,1
24,Korea,1
25,Mexico,3
26,Mixed Team,10
27,Nazi Germany,5
28,Netherlands,5
29,New Zealand,5
30,Norway,5
31,Poland,5
32,Romania,5
33,Russia,5
34,Russian Federation,5
35,South Africa,4
36,South Korea,1
37,Soviet Union,5
38,Spain,5
39,Sweden,5
40,Switzerland,5
41,Turkey,8
42,Ukraine,5
43,Unified Team (ex USSR),10
44,United Kingdom,5
45,United States,3
46,United Team of Germany,5
47,USA,3
48,USSR,8
49,West Germany,5
50,Yugoslavia,5